Designator,Mid X,Mid Y,Layer,Rotation
BRD1,144.950001mm,193.675mm,Top,180.0
D1,104.9mm,197.6mm,Top,180.0
D2,145.0mm,197.374889mm,Top,90.0
D3,130.5mm,78.0mm,Top,0.0
D4,130.5mm,83.0mm,Top,0.0
D5,130.5mm,93.0mm,Top,0.0
D6,130.5mm,88.0mm,Top,0.0
F1,98.3mm,197.360334mm,Top,270.0
G1,91.0mm,10.8mm,Top,0.0
G2,68.46mm,38.12mm,Top,90.0
G3,68.46mm,25.42mm,Top,90.0
G4,76.08mm,38.12mm,Top,90.0
G5,76.08mm,25.42mm,Top,90.0
G6,83.7mm,50.82mm,Top,180.0
G7,83.7mm,25.42mm,Top,90.0
G8,83.7mm,38.12mm,Top,90.0
J1,76.55mm,202.8mm,Top,0.0
J2,19.25mm,14.769999mm,Top,0.0
J4,23.0mm,47.8mm,Top,180.0
P1,63.5mm,191.8mm,Top,180.0
P2,43.0mm,196.8mm,Top,180.0
P3,38.0mm,198.3mm,Top,180.0
P4,35.0mm,195.3mm,Top,180.0
P5,66.5mm,191.8mm,Top,180.0
P6,51.5mm,187.8mm,Top,180.0
P7,45.5mm,187.8mm,Top,180.0
P8,32.0mm,199.3mm,Top,180.0
P9,72.5mm,191.8mm,Top,180.0
P10,61.0mm,188.8mm,Top,180.0
P11,61.0mm,184.3mm,Top,180.0
P12,54.5mm,187.8mm,Top,180.0
P13,48.5mm,187.8mm,Top,180.0
P14,35.0mm,199.3mm,Top,180.0
P15,22.0mm,198.5mm,Top,180.0
P16,16.0mm,198.5mm,Top,180.0
P17,28.000001mm,198.5mm,Top,180.0
P18,25.0mm,198.5mm,Top,180.0
P19,19.000001mm,198.5mm,Top,180.0
P20,13.0mm,198.5mm,Top,180.0
P21,132.5mm,188.8mm,Top,0.0
P22,123.5mm,188.8mm,Top,0.0
P23,117.0mm,188.8mm,Top,0.0
P24,137.5mm,198.3mm,Top,270.0
P25,137.5mm,195.3mm,Top,270.0
P26,134.5mm,195.3mm,Top,0.0
P27,95.268524mm,197.0mm,Top,0.0
P28,127.0mm,188.8mm,Top,0.0
P29,114.5mm,196.5mm,Top,0.0
P30,113.5mm,188.8mm,Top,0.0
P31,136.0mm,78.0mm,Top,0.0
P32,136.0mm,83.0mm,Top,0.0
P33,136.0mm,93.0mm,Top,0.0
P34,136.0mm,88.0mm,Top,0.0
P35,140.2mm,127.4mm,Top,270.0
P36,140.2mm,130.4mm,Top,270.0
P37,140.2mm,136.4mm,Top,270.0
P38,141.0mm,172.0mm,Top,90.0
P39,141.0mm,175.5mm,Top,90.0
P40,141.0mm,168.5mm,Top,90.0
P41,146.5mm,168.0mm,Top,270.0
P42,146.5mm,165.0mm,Top,270.0
P43,146.5mm,159.5mm,Top,270.0
P44,146.5mm,156.5mm,Top,270.0
P45,146.5mm,151.5mm,Top,270.0
P46,146.5mm,147.5mm,Top,270.0
P47,146.5mm,144.5mm,Top,270.0
P48,146.5mm,139.5mm,Top,270.0
P49,140.2mm,133.4mm,Top,270.0
P50,69.5mm,108.0mm,Top,0.0
P51,72.5mm,108.0mm,Top,0.0
P52,88.5mm,108.0mm,Top,0.0
P53,79.5mm,109.5mm,Top,90.0
P54,91.5mm,108.0mm,Top,0.0
P55,94.5mm,108.0mm,Top,0.0
P56,85.5mm,108.0mm,Top,0.0
P57,82.5mm,108.0mm,Top,0.0
P58,8.0mm,159.5mm,Top,90.0
P59,8.0mm,162.5mm,Top,90.0
P60,8.0mm,153.5mm,Top,90.0
P61,8.0mm,156.5mm,Top,90.0
P62,8.0mm,150.5mm,Top,90.0
P63,8.0mm,147.5mm,Top,90.0
P64,8.0mm,144.5mm,Top,90.0
P65,8.0mm,131.0mm,Top,90.0
R1,73.0mm,196.8mm,Top,270.0
R2,121.5mm,196.8mm,Top,270.0
R3,52.5mm,191.8mm,Top,180.0
R4,48.3mm,191.8mm,Top,0.0
R5,45.3mm,191.8mm,Top,0.0
R6,58.2mm,191.8mm,Top,180.0
R7,55.4mm,191.8mm,Top,180.0
R8,38.0mm,194.8mm,Top,180.0
R9,119.2mm,196.9mm,Top,270.0
R10,70.5mm,196.8mm,Top,270.0
R11,65.5mm,196.8mm,Top,270.0
R12,60.52mm,196.8mm,Top,270.0
R13,53.0mm,196.8mm,Top,270.0
R14,50.5mm,196.8mm,Top,270.0
R15,45.5mm,196.8mm,Top,270.0
R16,68.0mm,196.8mm,Top,270.0
R17,63.0mm,196.8mm,Top,270.0
R18,58.0mm,196.8mm,Top,270.0
R19,55.5mm,196.8mm,Top,270.0
R20,48.0mm,196.84952mm,Top,270.0
R21,40.5mm,196.8mm,Top,270.0
R22,110.0mm,196.8mm,Top,270.0
R23,142.0mm,196.8mm,Top,270.0
R24,130.0mm,196.8mm,Top,270.0
R25,127.5mm,196.8mm,Top,270.0
R26,125.0mm,196.8mm,Top,270.0
R27,117.0mm,196.8mm,Top,270.0
R28,132.0mm,196.8mm,Top,270.0
R29,56.025mm,72.3mm,Top,270.0
C751,56.55mm,86.75mm,Top,180.0
C752,56.05mm,80.495mm,Top,270.0
C753,58.05mm,81.37mm,Top,270.0
C754,58.57mm,77.85mm,Top,0.0
C755,68.95mm,92.9mm,Top,0.0
C756,66.065mm,94.25mm,Top,180.0
C757,63.79mm,86.77mm,Top,180.0
C758,58.53mm,86.75mm,Top,180.0
C759,69.05mm,80.83mm,Top,90.0
C760,67.05mm,82.83mm,Top,90.0
C761,67.5mm,86.4125mm,Top,270.0
C762,68.05mm,82.83mm,Top,90.0
C763,67.525mm,88.35mm,Top,90.0
C764,66.065mm,88.87mm,Top,0.0
C765,66.065mm,93.25mm,Top,0.0
C766,66.065mm,87.87mm,Top,0.0
C767,59.01mm,85.33mm,Top,90.0
D751,70.75mm,82.35mm,Top,90.0
R751,69.05mm,82.84mm,Top,90.0
R752,58.45mm,93.1875mm,Top,270.0
R753,56.45mm,93.1875mm,Top,90.0
R754,56.05mm,78.565mm,Top,90.0
R755,57.56mm,85.76mm,Top,180.0
R756,56.05mm,85.3mm,Top,270.0
R757,56.05mm,82.4mm,Top,270.0
R758,60.66mm,77.85mm,Top,180.0
R759,64.96mm,84.65mm,Top,180.0
R760,57.05mm,81.34mm,Top,270.0
R761,57.54mm,82.85mm,Top,180.0
R762,57.55mm,83.85mm,Top,0.0
R763,58.15mm,79.36mm,Top,90.0
R764,57.15mm,78.8mm,Top,270.0
R765,68.05mm,94.25mm,Top,180.0
R766,66.05mm,86.785mm,Top,180.0
R767,67.05mm,80.85mm,Top,270.0
R768,68.05mm,80.86mm,Top,90.0
R769,67.56mm,79.35mm,Top,0.0
U751,57.3mm,89.3875mm,Top,90.0
U752,69.8mm,90.25mm,Top,90.0
U753,62.55mm,81.35mm,Top,90.0
U754,62.25mm,91.145mm,Top,180.0
U755,66.585mm,91.07mm,Top,270.0
U756,61.16mm,85.82mm,Top,0.0
U757,69.8mm,85.99mm,Top,270.0
C600,35.503mm,33.101999mm,Top,0.0
C601,33.598mm,32.974999mm,Top,180.0
C602,39.025mm,42.219999mm,Top,90.0
C603,38.043mm,42.626999mm,Top,90.0
C604,40.025mm,42.219999mm,Top,90.0
C605,30.3595mm,35.832499mm,Top,90.0
C606,33.625mm,43.619999mm,Top,90.0
C607,37.027mm,33.609999mm,Top,270.0
C608,40.675mm,44.119999mm,Top,270.0
C609,30.94mm,53.719999mm,Top,180.0
C610,37.565mm,59.142999mm,Top,270.0
C611,35.675mm,44.069999mm,Top,180.0
C612,37.575mm,44.069999mm,Top,0.0
C613,32.866mm,59.015999mm,Top,270.0
C614,31.575mm,45.269999mm,Top,180.0
C615,40.525mm,54.369999mm,Top,0.0
C616,35.025mm,56.094999mm,Top,180.0
D600,39.059mm,33.863999mm,Top,0.0
D601,29.915mm,48.341999mm,Top,90.0
D602,29.915mm,51.389999mm,Top,270.0
D603,40.14495mm,56.002449mm,Top,180.0
Q600,33.775mm,28.619999mm,Top,180.0
Q601,40.675mm,28.119999mm,Top,90.0
R600,33.598mm,33.990999mm,Top,0.0
R601,35.503mm,34.117999mm,Top,0.0
R602,39.725mm,44.119999mm,Top,270.0
R603,37.535mm,39.197999mm,Top,180.0
R604,37.027mm,42.626999mm,Top,90.0
R605,37.535mm,40.213999mm,Top,180.0
R606,37.535mm,35.133999mm,Top,0.0
R607,30.3595mm,37.800999mm,Top,90.0
R608,37.535mm,41.169999mm,Top,180.0
R609,37.281mm,37.165999mm,Top,270.0
R610,31.625mm,33.484999mm,Top,270.0
R611,30.575mm,33.484999mm,Top,90.0
R612,29.525mm,33.484999mm,Top,270.0
R613,39.325mm,36.369999mm,Top,180.0
R614,39.525mm,35.369999mm,Top,180.0
R615,41.325mm,35.919999mm,Top,270.0
R616,41.275mm,33.934999mm,Top,270.0
R617,41.625mm,50.604999mm,Top,270.0
R618,31.575mm,44.119999mm,Top,0.0
R619,30.3595mm,39.769499mm,Top,90.0
R620,30.3595mm,41.737999mm,Top,90.0
R621,41.625mm,42.219999mm,Top,270.0
R622,39.825mm,32.619999mm,Top,0.0
R623,31.82mm,43.134999mm,Top,180.0
R624,41.625mm,44.119999mm,Top,90.0
